	Bayesian Skyline: hcv_coal.log			
time	date	datetime	milliseconds	mean	median	upper	lower
1814.3410640626557	1814-05-04	1814-05-04T10:43:17	-4912233403002	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1811.0325652490012	1811-01-11	1811-01-11T20:16:19	-5016656621589	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1807.7240664353467	1807-09-21	1807-09-21T05:49:20	-5121079840176	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1804.4155676216922	1804-05-30	1804-05-30T15:22:22	-5225503058763	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1801.1070688080376	1801-02-08	1801-02-08T00:55:23	-5329839877350	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1797.7985699943831	1797-10-18	1797-10-18T10:28:25	-5434176695938	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1794.4900711807286	1794-06-27	1794-06-27T20:01:26	-5538599914525	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1791.181572367074	1791-03-07	1791-03-07T05:34:27	-5643023133112	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1787.8730735534195	1787-11-14	1787-11-14T15:07:29	-5747446351700	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1784.564574739765	1784-07-24	1784-07-24T00:40:30	-5851869570286	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1781.2560759261105	1781-04-03	1781-04-03T10:13:32	-5956206388874	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1777.947577112456	1777-12-11	1777-12-11T19:46:33	-6060629607461	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1774.6390782988015	1774-08-21	1774-08-21T05:19:34	-6165052826048	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1771.330579485147	1771-04-30	1771-04-30T14:52:36	-6269476044636	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1768.0220806714924	1768-01-08	1768-01-08T00:25:37	-6373899263223	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1764.7135818578379	1764-09-16	1764-09-16T09:58:39	-6478322481810	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1761.4050830441834	1761-05-27	1761-05-27T19:31:40	-6582659300397	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1758.0965842305288	1758-02-04	1758-02-04T05:04:42	-6687082518985	351.86379076246186	312.43847908037213	829.4348366549465	145.31207062992627
1754.7880854168743	1754-10-14	1754-10-14T14:37:43	-6791505737572	351.841007397991	312.43847908037213	829.4348366549465	145.31207062992627
1751.4795866032198	1751-06-24	1751-06-24T00:10:44	-6895928956159	351.38083141422265	312.42779734743465	829.4348366549465	145.31207062992627
1748.1710877895653	1748-03-02	1748-03-02T09:43:46	-7000352174747	351.38083141422265	312.42779734743465	829.4348366549465	145.31207062992627
1744.8625889759107	1744-11-09	1744-11-09T19:16:47	-7104775393333	351.38083141422265	312.42779734743465	829.4348366549465	145.31207062992627
1741.5540901622562	1741-07-21	1741-07-21T04:49:49	-7209112211921	351.38083141422265	312.42779734743465	829.4348366549465	145.31207062992627
1738.2455913486017	1738-03-30	1738-03-30T14:22:50	-7313535430508	351.38083141422265	312.42779734743465	829.4348366549465	145.31207062992627
1734.9370925349472	1734-12-07	1734-12-07T23:55:51	-7417958649095	351.38083141422265	312.42779734743465	829.4348366549465	145.31207062992627
1731.6285937212926	1731-08-17	1731-08-17T09:28:53	-7522381867683	351.38083141422265	312.42779734743465	829.4348366549465	145.31207062992627
1728.3200949076381	1728-04-25	1728-04-25T19:01:54	-7626805086270	350.6162748845781	311.95105705489266	829.4348366549465	145.29985385906093
1725.0115960939836	1725-01-04	1725-01-04T04:34:56	-7731141904858	350.60291126775934	311.97572949766686	829.4348366549465	144.479206504786
1721.703097280329	1721-09-13	1721-09-13T14:07:57	-7835565123444	351.03485689599574	312.42779734743465	829.4348366549465	144.479206504786
1718.3945984666746	1718-05-23	1718-05-23T23:40:58	-7939988342031	350.7110521458542	311.97572949766686	829.4348366549465	144.47908803568268
1715.08609965302	1715-01-31	1715-01-31T09:14:00	-8044411560619	350.2921558461929	311.95105705489266	829.4348366549465	144.39642985109816
1711.7776008393655	1711-10-10	1711-10-10T18:47:01	-8148834779206	349.85654750208994	311.3301435460613	829.4348366549465	144.20900604385645
1708.469102025711	1708-06-19	1708-06-19T04:20:03	-8253257997794	349.63909948874624	311.3301435460613	829.4348366549465	144.03854193978103
1705.1606032120565	1705-02-27	1705-02-27T13:53:04	-8357594816380	349.5727927091874	311.3301435460613	829.4348366549465	144.03854193978103
1701.852104398402	1701-11-06	1701-11-06T23:26:06	-8462018034967	347.3436721801029	309.5383307284275	820.8874093717176	142.6792894352467
1698.5436055847474	1698-07-17	1698-07-17T08:59:07	-8566354853555	347.0392812418204	309.26969568759785	820.8874093717176	141.3312563717595
1695.235106771093	1695-03-26	1695-03-26T18:32:08	-8670778072142	345.9781845485625	308.41145727697017	820.8874093717176	137.68359145158988
1691.9266079574384	1691-12-04	1691-12-04T04:05:10	-8775201290730	344.06642700306645	306.0617738149941	815.5194380411805	135.36874427730484
1688.6181091437838	1688-08-12	1688-08-12T13:38:11	-8879624509317	340.70467697076646	301.14712280231777	795.2398230325102	132.12205468601223
1685.3096103301293	1685-04-22	1685-04-22T23:11:13	-8983961327905	339.99575089458403	300.7829591456837	795.2398230325102	127.12268157304275
1682.0011115164748	1681-12-31	1681-12-31T08:44:14	-9088384546491	339.70956905346384	300.7700919750601	795.2398230325102	126.70847448671103
1678.6926127028203	1678-09-09	1678-09-09T18:17:15	-9192807765078	339.1982167550771	300.7700919750601	795.2398230325102	115.49419664104829
1675.3841138891657	1675-05-20	1675-05-20T03:50:17	-9297230983666	337.2219430535498	299.36193837894507	778.3839884025247	102.98752879227726
1672.0756150755112	1672-01-27	1672-01-27T13:23:18	-9401654202253	335.8162054655524	298.98607649560086	776.9811935856037	96.46010327621849
1668.7671162618567	1668-10-05	1668-10-05T22:56:20	-9506077420841	334.1777640599732	298.4511104399749	772.722612409147	93.9152773312139
1665.4586174482022	1665-06-16	1665-06-16T08:29:21	-9610414239428	NaN	NaN	NaN	NaN
